country_name,country_code,continent,LifeExpNo_00_1975,LifeExp_00_1975,LE_00_1975,LifeExpNo_00_2010,LifeExp_00_2010,LE_00_2010,LifeExpNo_45_2050,LifeExp_45_2050,LE_45_2050,LifeExpNo_85_2050,LifeExp_85_2050,LE_85_2050
Bahamas,BHS,America,67.22141386021875,67.21917530254059,0.9997761442321845,72.73141799457537,72.68187385897482,0.9950455864399459,78.34194000799909,78.21396854035028,0.9872028532351195,78.34194000799909,78.20238954514451,0.9860449537145428
Bosnia and Herzegovina,BIH,Europe,69.40535822327114,69.38710130130825,0.9981743078037113,77.07289504078983,77.01906507450923,0.9946170033719397,82.10454642059123,82.00879587429597,0.9904249453704737,82.10454642059123,81.99513817248412,0.9890591751892884
Belarus,BLR,Asia,70.90838419262836,70.51644752536832,0.960806333273996,71.12194597007586,70.25645109165436,0.9134505121578499,79.88639036020133,77.91431507552294,0.8027924715321604,79.88639036020133,77.66577200804107,0.7779381647839742
Belize,BLZ,America,65.94210278668766,65.93779761450189,0.9995694827814233,72.27162680995713,72.25794442338399,0.9986317613426863,79.15446231504872,79.1137120113388,0.9959249696290087,79.15446231504872,79.10848108171064,0.9954018766661917
Bolivia,BOL,America,48.82606078604989,48.81912640710953,0.9993065621059642,66.16238321542414,66.12438960180928,0.9962006386385142,73.58093173261442,73.4933599942958,0.9912428261681384,73.58093173261442,73.48627420361893,0.9905342471004517
Brazil,BRA,America,59.35304746914013,59.35187522896025,0.9998827759820124,73.18207891331775,73.17552194130036,0.9993443027982607,81.32465992677685,81.30632587316235,0.9981665946385505,81.32465992677685,81.30198963914458,0.9977329712367734
Bhutan,BTN,Asia,44.08952581348653,44.08155409362535,0.9992028280138818,68.4297920793838,68.39271752533297,0.9962925445949168,78.14041039499119,78.02013405658342,0.9879723661592223,78.14041039499119,77.99020390011202,0.9849793505120829
Botswana,BWA,Africa,57.99802952119313,57.9497423796553,0.9951712858462166,60.013313079839975,59.889853923130026,0.9876540843290051,69.46666847348057,69.14263536272794,0.9675966889247377,69.46666847348057,69.13152217994185,0.9664853706461287
Central African Republic,CAF,Africa,47.913065566749076,47.852427629420276,0.9939362062671201,49.254900597788414,49.14389493080416,0.9888994333015745,61.01201207963496,60.72551507090827,0.9713502991273316,61.01201207963496,60.802316380180876,0.979030430054592
Canada,CAN,America,73.45098051687107,73.43117090880523,0.9980190391934158,81.34689384110949,81.28845917555303,0.9941565334443538,86.66077287818955,86.53760746092465,0.98768345827351,86.66077287818955,86.52286207352752,0.9862089195337973
Switzerland,CHE,Europe,74.79158320164315,74.78567906595127,0.9994095864308121,82.28308734821137,82.26257729429706,0.9979489946085692,87.69642751501428,87.65678143552351,0.9960353920509235,87.69642751501428,87.65112139290713,0.9954693877892851
Chile,CHL,America,66.27921193004009,66.26804955183529,0.9988837621795199,78.50154646136147,78.46354671629427,0.9962000254932804,85.70675715460338,85.61758838540291,0.991083123079953,85.70675715460338,85.59362554520317,0.9886868390599787
China,CHN,Asia,60.916963071057786,60.90478373825158,0.9987820667193794,75.5990893076573,75.5553527942081,0.995626348655081,83.75419689920501,83.63486346890389,0.9880666569698875,83.75419689920501,83.61111592968294,0.9856919030477925
Cote dIvoire,CIV,Africa,48.34607320498514,48.3164530542497,0.997037984926456,55.02253732006928,54.924176510794545,0.9901639190725262,64.47203190064496,64.18218706995825,0.9710155169313281,64.47203190064496,64.18218706995825,0.9710155169313281
Cameroon,CMR,Africa,49.71750474892288,49.68886175667394,0.9971357007751059,56.5820181125164,56.48042632538605,0.9898408212869647,66.41107689510267,66.144490987161,0.9733414092058339,66.41107689510267,66.16661106190517,0.9755534166802505
Democratic Republic of the Congo,COD,Africa,44.471435708775836,44.44507264713561,0.9973636938359774,56.41668321088012,56.33986626715687,0.9923183056276749,65.38740342634134,65.22107342357532,0.9833669997233982,65.38740342634134,65.23949842832351,0.9852095001982178
Congo,COG,Africa,55.32280909733591,55.29684197416355,0.9974032876827635,61.68326577064016,61.61355596594209,0.9930290195301928,67.10215033527648,66.94154338823968,0.9839393052963203,67.10215033527648,66.96736919157051,0.9865218856294036
Colombia,COL,America,64.27016100980201,64.26908052582839,0.9998919516026377,75.03273376578585,75.0258125837152,0.9993078817929344,82.2921026687502,82.27096597259491,0.9978863303844705,82.2921026687502,82.26543741647279,0.9973334747722589
Costa Rica,CRI,America,69.39993940335916,69.39891030673239,0.9998970903373234,78.67038354697107,78.6593296359382,0.998894608896714,85.00117609515335,84.96654269237057,0.9965366597217212,85.00117609515335,84.95962276838341,0.9958446673230057
Cuba,CUB,America,71.07880559933022,71.0770430161511,0.9998237416820871,77.66103808870093,77.64848747450813,0.9987449385807196,82.85324460020979,82.81489938791755,0.9961654787707758,82.85324460020979,82.80974351733036,0.995649891712057
Cyprus,CYP,Europe,70.51765583796609,70.51207044543544,0.9994414607469352,79.6649677090151,79.62967282261634,0.9964705113601241,85.89911414620047,85.80653459847473,0.9907420452274251,85.89911414620047,85.79257122877821,0.989345708257774
Czech Republic,CZE,Europe,70.48589928921321,70.44272665689445,0.9956827367681242,77.57033542936392,77.41146726577303,0.9841131836409105,83.63540769546361,83.32036057162631,0.9684952876162697,83.63540769546361,83.26819097619313,0.9632783280729512
Germany,DEU,Europe,71.5205061927638,71.51544210750917,0.9994935914745369,80.08638467109519,80.06703762587922,0.9980652954784034,85.79901552190468,85.7603435533565,0.9961328031451828,85.79901552190468,85.7515632389084,0.9952547717003725
Djibouti,DJI,Africa,49.87048662008538,49.84993100967758,0.9979444389592202,60.25873807024637,60.109749109287236,0.9851011039040862,69.27031589038202,68.88370670511617,0.9613390814734146,69.27031589038202,68.82399598848745,0.9553680098105432
Denmark,DNK,Europe,74.10091212811443,74.09662191354366,0.9995709785429228,79.24590824636215,79.22008802772751,0.9974179781365364,85.67580145629216,85.61228486853283,0.9936483412240662,85.67580145629216,85.59539061981528,0.9919589163523114
Dominican Republic,DOM,America,59.23559322922216,59.23291901246229,0.9997325783240129,72.09329148388092,72.0721138481982,0.9978822364317281,79.26775105809466,79.19750648495764,0.9929755426862983,79.26775105809466,79.18773020759954,0.9919979149504883
Algeria,DZA,Africa,46.97223786419921,46.97023268326772,0.999799481906851,73.80809092781163,73.78715986688707,0.9979068939075433,82.35487895069542,82.29787086384772,0.9942991913152298,82.35487895069542,82.28765267846782,0.9932773727772399
Ecuador,ECU,America,60.23175435210105,60.22956801554769,0.9997813663446642,75.43008286280434,75.40774678079717,0.9977663917992828,82.73066089280225,82.67318887542005,0.9942527982617804,82.73066089280225,82.65788458275921,0.9927223689956961
Egypt,EGY,Africa,52.59074197630266,52.587570083871896,0.9996828107569236,69.66383958468,69.65100222773967,0.9987162643059662,76.24316807850956,76.21517947350416,0.997201139499461,76.24316807850956,76.20939185548546,0.9966223776975909
Eritrea,ERI,Africa,42.239905293220595,42.19397695471646,0.9954071661495867,63.7865564024703,63.42866431428284,0.9642107911812537,74.18436087227121,73.32451789056013,0.9140157018288917,74.18436087227121,73.2067772155202,0.9022416343248991
Western Sahara,ESH,Africa,36.452704881621095,36.452704881621095,1.0,67.49255491651402,67.49255491651402,1.0,75.65748896980449,75.65748896980449,1.0,75.65748896980449,75.65748896980449,1.0
Spain,ESP,Europe,73.4944883016492,73.49044780665335,0.9995959505004152,82.0214463914411,82.00483710464252,0.9983390713201417,87.45415570679218,87.42419834736755,0.9970042640575372,87.45415570679218,87.41564723097133,0.9961491524179152
