country_name,country_code,continent,LE_00_1975,LE_00_2010,LE_45_2080,LE_85_2080
Madagascar,MDG,Africa,0.997540603116424,0.987766235053774,0.9461337737230153,0.9241272475710687
Mexico,MEX,Americas,0.9994851799038159,0.9975218824367872,0.9908169907342697,0.9862386782722325
North Macedonia,MKD,Europe,0.9989244878242118,0.9963690716347372,0.9884943027891225,0.9806459772296492
Mali,MLI,Africa,0.9987763776270093,0.9876781239650938,0.9509521893588001,0.9360020963159215
Myanmar,MMR,Asia,0.9998772723430441,0.999622562999086,0.9980840201686988,0.9971853880420056
Montenegro,MNE,Europe,0.9965248991722462,0.9890100920195891,0.9682022114150641,0.9466238403034865
Mongolia,MNG,Asia,0.9494995720971573,0.8708885776004024,0.4997058852818711,0.20456231577974227
Mozambique,MOZ,Africa,0.9969918728157005,0.9916940007299502,0.9529576802387183,0.9307899297986595
Mauritania,MRT,Africa,0.9987795984103116,0.9928123875810592,0.9715074192265334,0.9589969421363704
Malawi,MWI,Africa,0.998115501359873,0.991669527461822,0.9577183084181797,0.9375774383074897
Malaysia,MYS,Asia,0.9998932750804215,0.9990979654799261,0.99537972645725,0.9942746734885872
Namibia,NAM,Africa,0.9957816376458914,0.9895505156005207,0.9462306692150946,0.9245752101165934
New Caledonia,NCL,Oceania,1.0,1.0,1.0,1.0
Niger,NER,Africa,0.9988544815538234,0.98792956029679,0.9479201242882823,0.9336367139446053
Nigeria,NGA,Africa,0.9977179379633896,0.9936973162914804,0.9722968311779383,0.9717112688984301
Nicaragua,NIC,Americas,0.9998742540368462,0.9984665153706629,0.9917493890028126,0.9896079299814204
Netherlands,NLD,Europe,0.9997847514662652,0.9991723960503066,0.9971745428735759,0.9946582956290897
Norway,NOR,Europe,0.9982857052383167,0.9888775569212569,0.960727346104845,0.9400492844866619
Nepal,NPL,Asia,0.9967538721618474,0.9881687187817377,0.905115557800326,0.8554648023076069
New Zealand,NZL,Oceania,0.9992546859837148,0.9975964631030863,0.9900750228792518,0.9838996790083272
Oman,OMN,Asia,0.9986588515546977,0.9895112310617591,0.936373993412927,0.9116211437425676
Pakistan,PAK,Asia,0.9985516457525264,0.9952263999762266,0.9809113067957981,0.9703878869386529
Panama,PAN,Americas,0.9998713886668711,0.998913581478233,0.9938758131242992,0.9925092214109668
Peru,PER,Americas,0.9985149530191137,0.9868020669134495,0.9409218326651996,0.9199918394835749
Philippines,PHL,Asia,0.9994947892443904,0.9962013800050684,0.9836772361732855,0.9784278785824213
Papua New Guinea,PNG,Oceania,0.999072221809272,0.992993248089757,0.9736316657352546,0.9662318980057805
Poland,POL,Europe,0.9953891309970558,0.9868834548577098,0.9646925954827296,0.9337322645292658
Korea (Democratic People's Republic of),PRK,Asia,0.9979256419034506,0.9945112316891525,0.97663808711022,0.9596268285457512
Portugal,PRT,Europe,0.999276652576448,0.9966195266874749,0.9865760519939755,0.9780887431389559
Paraguay,PRY,Americas,0.9991090767945849,0.9978401132908644,0.9938047982523301,0.9915156975222204
"Palestine, State of",PSE,Asia,0.9997284986199801,0.998849733286194,0.994981874269125,0.9913721902236958
Qatar,QAT,Asia,0.998828396104463,0.9911449299745698,0.9161266325121218,0.8939159856428646
Romania,ROU,Europe,0.993040651574924,0.9805225273988981,0.9420916881297202,0.8975182109400535
Russian Federation,RUS,Europe,0.9575547784387751,0.9097823874153292,0.6549760536017644,0.4253516193280902
Rwanda,RWA,Africa,0.9984679119655724,0.9902961727551685,0.9591513949885396,0.9496536981483672
Saudi Arabia,SAU,Asia,0.9998744368442416,0.9988198553786105,0.9937743233935592,0.9917026808976303
Sudan,SDN,Africa,0.9990600210418329,0.9960342783995018,0.9864609056425252,0.9820595986604431
Senegal,SEN,Africa,0.9983951724206144,0.990157177771674,0.9381546481011697,0.9132911525400971
Solomon Islands,SLB,Oceania,0.998885498401917,0.9859589456673774,0.9461304965970385,0.9400474239280214
Sierra Leone,SLE,Africa,0.9982296672984958,0.988787898598224,0.949094954762181,0.9395994295953287
El Salvador,SLV,Americas,0.9999015670749231,0.9990825861483416,0.9951729242980292,0.992806699423906
Somalia,SOM,Africa,0.9968471336900443,0.9706032833454102,0.8653323695402534,0.8344234803629632
Serbia,SRB,Europe,0.9971269370608666,0.992901147580946,0.9764243872863461,0.9596042232210948
South Sudan,SSD,Africa,0.9971036221718513,0.9892935092496529,0.9695662103695113,0.9620165237443302
Suriname,SUR,Americas,0.99992766218123,0.9982253743989731,0.9915254132163966,0.9896276664326364
Slovakia,SVK,Europe,0.9885412147805056,0.9686435829618162,0.9094112014866169,0.83566161803234
Slovenia,SVN,Europe,0.9976020250962236,0.9906536568878692,0.971010985992045,0.9498874702412252
Sweden,SWE,Europe,0.9982374724809517,0.99130586397617,0.9682327308081013,0.9446432910203029
Eswatini,SWZ,Africa,0.9931508182269269,0.9913179941295006,0.9476276800775694,0.9187211154368982
Syrian Arab Republic,SYR,Asia,0.9995073001458635,0.9971777017505332,0.9901290062021942,0.9845718980592266
